Title,Price,Rating,Description,Author,LINK
Math Magic Textbook in Mathematics for Class - 3 - 325,$5.95,4.4,"The book is good, but the copy that I received from Mittal books has significant damage to the spine. Please buy at the store. I have requested a replacement. Keeping my fingers crossed.",NCERT,https://www.amazon.com/Math-Magic-Textbook-Mathematics-Class/dp/8174505105/ref=sr_1_15?keywords=maths+by+NCERT&qid=1680592418&s=books&sr=1-15
Color by Math Worksheets - Addition Workbook Children's Math Books,$12.99,1,"Here's a new approach to coloring that your kids would probably find challenging but confidence-boosting at the same time. Instead of just picking any color, your child will have to solve an addition exercise to figure out what color to pick and for which specific area of the image. A lot of patience and relaxation as well as focus will be required to get this job done.",Baby Professor,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NTczNzUwNDYxMjA5NjU5OjE2ODA1OTI0MTg6c3BfYnRmOjIwMDM0MzIwMzg3Mjk4OjowOjo&url=%2FColor-Math-Worksheets-Addition-Childrens%2Fdp%2F1541904613%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dmaths%2Bby%2BNCERT%26qid%3D1680592418%26s%3Dbooks%26sr%3D1-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
Numerical Methods 7/Ed,$42.25,4.5,"The book is really helpful for all students, the important thing is it have many examples related theorem,","R. K. Jain Mahinder Kumar Jain, S. R. K Iyengar",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNDM3NTc1MDg1ODc3Mzk2OjE2ODA1OTI1OTc6c3BfYXRmOjIwMDc5Mzk1MjM2NDA3OjowOjo&url=%2FNumerical-Methods-Scientific-Engineering-Computation%2Fdp%2F9387477258%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dengineering%2Bmaths%26qid%3D1680592597%26s%3Dbooks%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1%26smid%3DA3SL7ERDEI97J5
Higher Engineering Mathmetics 44th Edition 2017,$60.39,4.4,"I love this book, this book makes me confident for any math course.",B.S. Grewal,https://www.amazon.com/Higher-Engineering-Mathematics-B-S-Grewal/dp/8193328493/ref=sr_1_4?keywords=engineering+maths&qid=1680592597&s=books&sr=1-4
A Handbook For Engineering Mathematics,$20.44,4.3,"This book is quite good, but you should know forehand engg mathematics and this book will help you at the end moment especially for ese, it was my last attempt for ese as upsc is highly unpredictable now they are asking anything located at the nook and corner of handbooks, dont forget to mug up technical handbooks by arihant and made easy, also for non tech buy lucent and arihant GS anything can be asked from these indispensable tools",Made Easy Pub.,https://www.amazon.com/Handbook-Engineering-Mathematics-Illustrated-Formulae/dp/9351473007/ref=sr_1_7?keywords=engineering+maths&qid=1680592597&s=books&sr=1-7
Technical Math For Dummies,$19.99,4.3,"Technical Math For Dummies is your one-stop, hands-on guide to acing the math courses you’ll encounter as you work toward getting your degree, certification, or license in the skilled trades. You’ll get easy-to-follow, plain-English guidance on mathematical formulas and methods that professionals use every day in the automotive, health, construction, licensed trades, maintenance, and other trades. You’ll learn how to apply concepts of algebra, geometry, and trigonometry and their formulas related to occupational areas of study. Plus, you’ll find out how to perform basic arithmetic operations and solve word problems as they’re applied to specific trades.Maps to a course commonly required by vocational schools, community and technical college, or for certification in the skilled tradesCovers the basic concepts of arithmetic, algebra, geometry, and trigonometryHelps professionals keep pace with job demandsWhether you’re a student currently enrolled in a program or a professional who is already in the work force, Technical Math For Dummies gives you everything you need to improve your math skills and get ahead of the pack.",Barry Schoenborn,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNDM3NTc1MDg1ODc3Mzk2OjE2ODA1OTI1OTc6c3BfbXRmOjIwMDQ4NDk2NjcxOTk4OjowOjo&url=%2FTechnical-Math-Dummies-Barry-Schoenborn%2Fdp%2F0470598743%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dengineering%2Bmaths%26qid%3D1680592597%26s%3Dbooks%26sr%3D1-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Objective Mathematics Vol 1 For Engineering Entrances 2022,$128.99,4.4,Recommendable one!,Amit M Agarwal,https://www.amazon.com/Objective-Mathematics-Vol-Engineering-Entrances/dp/9326193330/ref=sr_1_15?keywords=engineering+maths&qid=1680592597&s=books&sr=1-15
Engineering Mechanics : Statics Si Version,$34.71,4.3,"Please Read Notes: Brand New, International Softcover Edition, Printed in black and white pages, minor self wear on the cover or pages, Sale restriction may be printed on the book, but Book name, contents, and author are exactly same as Hardcover Edition. Fast delivery through DHL/FedEx express.",MERIAM KRAIGE BOLTON,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNDM3NTc1MDg1ODc3Mzk2OjE2ODA1OTI1OTc6c3BfYnRmOjIwMDMzMzM0MjA2MjA2OjowOjo&url=%2FEngineering-Mechanics-Statics-Kraige-Meriam%2Fdp%2F8126564032%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dengineering%2Bmaths%26qid%3D1680592597%26s%3Dbooks%26sr%3D1-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
Product Lifecycle Management (Volume 1): 21st Century Paradigm for Product Realisation (Decision Engineering),$171.82,3,"This third edition updates and adds to the successful second edition and gives the reader a thorough description of PLM, providing them with a full understanding of the theory and the practical skills to implement PLM within their own business environment. This new and expanded edition is fully updated to reflect the many technological and management advances made in PLM since the release of the second edition. Describing the environment in which products are developed, manufactured and supported, before addressing the Five Pillars of PLM: business processes, product data, PLM applications, Organisational Change Management (OCM) and Project Management, this book explains what Product Lifecycle Management is, and why it’s needed. The final part of the book addresses the PLM timeline, showing the typical steps and activities of a PLM project or initiative. “Product Lifecycle Management” will broaden the reader’s understanding of PLM, nurturing the skills needed to implement PLM successfully and to achieve world-class product performance across the lifecycle.",John Stark,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxNDM3NTc1MDg1ODc3Mzk2OjE2ODA1OTI1OTc6c3BfYnRmOjIwMDQ2MDU0MTc0NDk4OjowOjo&url=%2FProduct-Lifecycle-Management-Realisation-Engineering%2Fdp%2F3319330500%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dengineering%2Bmaths%26qid%3D1680592597%26s%3Dbooks%26sr%3D1-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
A Textbook of Engineering Physics,$32.71,4.4,"Good package for physics , contains all the topics for B. Tech bsc etc.",Avadhanulu,https://www.amazon.com/Textbook-Engineering-Physics-M-Avadhanulu/dp/9352833996/ref=sr_1_3?keywords=engineering+physics&qid=1680592801&s=books&sr=1-3
Engineering Physics,$37.71,4.4,"Please Read Notes: Brand New, International Softcover Edition, Printed in black and white pages, minor self wear on the cover or pages, Sale restriction may be printed on the book, but Book name, contents, and author are exactly same as Hardcover Edition. Fast delivery through DHL/FedEx express.",Malik,https://www.amazon.com/Engineering-Physics-Hitendra-K-Malik/dp/9352606957/ref=sr_1_4?keywords=engineering+physics&qid=1680592801&s=books&sr=1-4
Engineering Physics (All India),$33.05,3.4,"Please Read Notes: Brand New, International Softcover Edition, Printed in black and white pages, minor self wear on the cover or pages, Sale restriction may be printed on the book, but Book name, contents, and author are exactly same as Hardcover Edition. Fast delivery through DHL/FedEx express.",S. MANI NAIDU,https://www.amazon.com/Engineering-Physics-1e-Mani-Naidu/dp/8131761630/ref=sr_1_7?keywords=engineering+physics&qid=1680592801&s=books&sr=1-7
Fatigue of Structures and Materials,$79.16,4.4,"Fatigue of structures and materials covers a wide scope of different topics. The purpose of the present book is to explain these topics, to indicate how they can be analyzed, and how this can contribute to the designing of fatigue resistant structures and to prevent structural fatigue problems in service. Chapter 1 gives a general survey of the topic with brief comments on the signi?cance of the aspects involved. This serves as a kind of a program for the following chapters. The central issues in this book are predictions of fatigue properties and designing against fatigue. These objectives cannot be realized without a physical and mechanical understanding of all relevant conditions. In Chapter 2 the book starts with basic concepts of what happens in the material of a structure under cyclic loads. It illustrates the large number of variables which can affect fatigue properties and it provides the essential background knowledge for subsequent chapters. Different subjects are presented in the following main parts: • Basic chapters on fatigue properties and predictions (Chapters 2–8) • Load spectra and fatigue under variable-amplitude loading (Chapters 9–11) • Fatigue tests and scatter (Chapters 12 and 13) • Special fatigue conditions (Chapters 14–17) • Fatigue of joints and structures (Chapters 18–20) • Fiber-metal laminates (Chapter 21) Each chapter presents a discussion of a speci?c subject.",J. Schijve,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NDUzODI4OTA4NTYwMDIzOjE2ODA1OTI4MDE6c3BfbXRmOjIwMDQxNzczNDA3Njk4OjowOjo&url=%2FFatigue-Structures-Materials-J-Schijve%2Fdp%2F1402068077%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dengineering%2Bphysics%26qid%3D1680592801%26s%3Dbooks%26sr%3D1-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Engineering Physics [Paperback] [Jan 01, 2018] Shatendra Sharma , Jyotsna Sharma",$34.54,4.1,Brand New,JYOTSNA SHARMA SHATENDRA SHARMA,https://www.amazon.com/Engineering-Physics-Shatendra-Sharma/dp/9386873311/ref=sr_1_15?keywords=engineering+physics&qid=1680592801&s=books&sr=1-15
Concepts of Physics (Part 2),$23.97,4.6,Reading books is a kind of enjoyment.HC verma physics Reading books is a good habit. We bring you a different kinds of books. You can carry this book where ever you want. It is easy to carry. It can be an ideal gift to yourself and to your loved ones. Care instruction keep away from fire.,H. C. VERMA,https://www.amazon.com/Concept-Physics-Part-2-2018-2019-Session/dp/8177092324/ref=sr_1_2?keywords=physics+by+hc+verma&qid=1680592946&s=books&sr=1-2
concept of physics by hc verma 1,$36.40,4.3,Amazing.......HC verma physics The book is in good condition. Thank you the seller SB center. The packing is very nice. I am so happy. I got the book at 295 rs.This is original book. You can go for it.Nothing to say about the content. You can learn physics very easily by this book. I recommended everyone to buy this book. Must buy volume 1 & 2 both. Volume 1 has chapter-1 - chapter-22 & volume 2 has chapter-23 - chapter-47.,hc verma 1,https://www.amazon.com/Hc-Verma-concepts-physics-1/dp/B07HLK6WGQ/ref=sr_1_10?keywords=physics+by+hc+verma&qid=1680592946&s=books&sr=1-10
"Mechanics I for JEE (Advanced), 3rd Edition",$34.90,4.6,"Mechanics I for JEE (Advanced), a Cengage Exam Crack Series product, is designed to help aspiring engineers focus on the subject of physics from two standpoints: To develop their caliber, aptitude, and attitude for the engineering field and profession. To strengthen their grasp and understanding of the concepts of the subjects of study and their applicability at the grassroots level. Each book in this series approaches the subject in a very conceptual and coherent manner. While its illustrative, solved examples facilitate easy mastering of the concepts and their applications, an array of solved problems exposes the students to a variety of questions that they can expect in the examination. The coverage and features of this series of books make it highly useful for all those preparing for JEE Main and Advanced and aspiring to become engineers.",B. M. Sharma,https://www.amazon.com/Mechanics-JEE-Advanced-B-Sharma/dp/9355730411/ref=sr_1_13?keywords=physics+jee+cengage&qid=1680593053&s=books&sr=1-13
Understanding Physics for JEE Main and Advanced Optics and Modern Physics,$36.35,4.3,"With ever changing pattern and syllabus, JEE Main and Advanced tests the conceptual knowledge of the aspirants by asking problems on the reallife applications on all 3 subjects; Physics, Chemistry and Mathematics. Keeping this mind, we have upgraded our bestselling series since its first edition """"Understanding Physics JEE Main and Advanced"" written by renowned author, D.C. Pandey which carries five fully comprehensive textbooks presenting 36 essential chapters of Physics. The fifth book of the series is ""Optics and Modern Physics"" which has been thoroughly revised to reinforce foundations Optics and Modern Physics in easy and effective manner. The revised edition of the book all the difficulties being faced by the students during preparation of JEE. This book provides 1. Entire syllabus in 8 chapters dealing with the foundations of the Mechanics 2. In depth discussion on the theories of Nuclear Structure, Nuclear decays and reaction 3. Focus on concept building and problem solving 4. IIT JEE Main and Advanced Previous years' question to know the question pattern 5. Hints & Solutions for the complete conceptual clarity. TOC Chapter 1 Electromagnetic Waves, Chapter 2 Reflection Of Light, Chapter 3Refraction Of Light, Chapter 4 Interference & Diffraction Of Light, Chapter 5 Modern Physics I, Chapter 6 Modern Physics II, Chapter 7 Semiconductor, Chapter 8 Communication System, Hints & Solutions",DC Pandey,https://www.amazon.com/Understanding-Physics-Advanced-Optics-Modern/dp/9326191591/ref=sr_1_18?keywords=physics+jee+cengage&qid=1680593053&s=books&sr=1-18
Errorless 45 Previous Years IIT JEE Advanced (1978 - 2022) + JEE Main (2013 - 2022) CHEMISTRY Chapterwise & Topicwise Solved Papers 18th Edition PYQ ... with 100% Detailed Solutions for JEE 2023,$40.87,4.1,"- The thoroughly Revised & Updated 18th edition of the book ""Errorless 45 Previous Years IIT JEE Advanced (1978 - 2022) + JEE Main (2013 - 2022) CHEMISTRY Chapter-wise & Topic-wise Solved Papers"" is an integrated book, which contains Chapterwise & Topicwise collection of previous JEE Advanced (including 1978 - 2012 IIT-JEE & 2013 - 22 JEE Advanced) & past JEE Main 2013 to 2020 (Offline Papers) and 2013 - 2022 (all 102 Online Papers). - Thus the Book covers 45 IIT JEE/ JEE Advanced Papers and 110 JEE Main Papers (102 Online + 8 Offline). - The Book is divided into 31 chapters as per NCERT Book. With this new feature this book has become the 1st to adopt NCERT Chapterisation. - Each chapter divides the questions into 2-4 topics which are further divided into 10 categories of questions - Fill in the Blanks, True/ False, MCQ 1 correct, MCQ more than 1 correct, Passage Based, Assertion-Reason, Multiple Matching, Integer Answer, Numeric Answer and Subjective Questions. - All the Screening and Mains papers of IIT-JEE have been incorporated in the book.  - Detailed solution of each and every question has been provided for 100% conceptual clarity of the student. Well elaborated detailed solutions with user friendly language are provided at the end of each chapter. - Solutions have been given with enough diagrams, proper reasoning to bring conceptual clarity.  - The students are advised to attempt questions of a topic immediately after they complete a topic in their class/ school/ home. The book contains around 4600+ Milestone Problems in Physics.",Disha Experts,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMTcxODkxMTYwOTc3Njg1OjE2ODA1OTMwNTM6c3BfYnRmOjIwMDc0MTI1NTg2ODk4OjowOjo&url=%2FErrorless-Previous-Years-Advanced-1978%2Fdp%2F9355642105%2Fref%3Dsr_1_20_sspa%3Fkeywords%3Dphysics%2Bjee%2Bcengage%26qid%3D1680593053%26s%3Dbooks%26sr%3D1-20-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
Classical and Quantum Statistical Physics: Fundamentals and Advanced Topics,$47.70,5,"Statistical physics examines the collective properties of large ensembles of particles, and is a powerful theoretical tool with important applications across many different scientific disciplines. This book provides a detailed introduction to classical and quantum statistical physics, including links to topics at the frontiers of current research. The first part of the book introduces classical ensembles, provides an extensive review of quantum mechanics, and explains how their combination leads directly to the theory of Bose and Fermi gases. This allows a detailed analysis of the quantum properties of matter, and introduces the exotic features of vacuum fluctuations. The second part discusses more advanced topics such as the two-dimensional Ising model and quantum spin chains. This modern text is ideal for advanced undergraduate and graduate students interested in the role of statistical physics in current research. 140 homework problems reinforce key concepts and further develop readers' understanding of the subject.",Carlo Heissenberg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3NDc0NTIwNjc3MTkzMjY0OjE2ODA1OTMyMDY6c3BfYXRmOjIwMDI5NjExMTI2Nzk4OjowOjo&url=%2FClassical-Quantum-Statistical-Physics-Fundamentals%2Fdp%2F1108844626%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DAdvanced%2Bphysics%26qid%3D1680593206%26s%3Dbooks%26sr%3D1-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Physics Olympiad - Basic To Advanced Exercises,$38.02,4.5,"This book contains some of the problems and solutions in the past domestic theoretical and experimental competitions in Japan for the International Physics Olympiad. Through the exercises, we aim at introducing the appeal and interest of modern physics to high-school students. In particular, the problems for the second-round of competition are like long journey of physics, beginning with fundamental physics of junior-high-school level, and ending with the forefronts of updated physics and technology.",The Committee Of Japan Physics Olympiad Japan,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3NDc0NTIwNjc3MTkzMjY0OjE2ODA1OTMyMDY6c3BfYXRmOjIwMTI1NDg2OTAwNjk4OjowOjo&url=%2FPhysics-Olympiad-Basic-Advanced-Exercises%2Fdp%2F981455667X%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DAdvanced%2Bphysics%26qid%3D1680593206%26s%3Dbooks%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Physics Galaxy 2020-21: Advanced Illustration in Physics,$12.38,4.6,"Advanced Illustrations in Physics by seasoned expert Ashish Arora is a valuable asset for the Advanced Illustrations in Physics by seasoned expert Ashish Arora is a valuable asset for the aspirants of JEE Advanced examination. The book covers more than 700 advanced problems with illustrations. Detailed explanations have been included with video solutions so that students are able to grasp the fundamental examination edge of JEE Advanced. Every illustration is based on specific experimental analysis and practical situations from real life, so that students can understand how questions are framed in competitive exams. All illustrations are divided in several topics covering the syllabus of Advanced Physics for JEE. Features 700+ advanced problems illustrated with explanations Practical problems included from real life Video solutions included to help students grasp concepts better",Ashish Arora,https://www.amazon.com/Physics-Galaxy-2020-21-Advanced-Illustration/dp/8193975634/ref=sr_1_3?keywords=Advanced+physics&qid=1680593206&s=books&sr=1-3
Physics Galaxy 2023: JEE Advanced - Physics - Chapter wise PYQ Analysis by Ashish Arora,$23.45,4.3,"This book of PHYSICS GALAXY Solutions of Previous Years of JEE Advanced chapter wise papers is made with detailed comprehensive solutions for each question with elaborated explanation to understand the concept used in application of the questions. For JEE Advanced, this is essential for all aspirants to carefully understand, how to attack on questions in examination hall while reading it for the first time. The solutions given in this book help students in building the attacking ability for JEE Advanced level questions and strengthen out of the box thinking (OTBT) ability",Ashish Arora,https://www.amazon.com/Physics-Galaxy-2023-Advanced-Analysis/dp/9356810826/ref=sr_1_4?keywords=Advanced+physics&qid=1680593206&s=books&sr=1-4
JEE ADVANCED PHYSICS: MAGNETIC EFFECTS OF CURRENT AND ELECTROMAGNETIC INDUCTION [Paperback] Rahul Sardana [Paperback] Rahul Sardana [Paperback] Rahul Sardana [Paperback] Rahul Sardana [Paperback] Rahul Sardana [Paperback] Rahul Sardana [Paperback] Rahul Sardana [Paperback] Rahul Sardana [Paperback] Rahul Sardana [Paperback] Rahul Sardana [Paperback] Rahul Sardana [Paperback] Rahul Sardana [Paperback] Rahul Sardana [Paperback] Rahul Sardana [Paperback] Rahul Sardana,$32.42,4.4,Salient Features,Rahul Sardana,https://www.amazon.com/JEE-Advanced-Physics-Magnetic-Current/dp/9353945445/ref=sr_1_7?keywords=Advanced+physics&qid=1680593206&s=books&sr=1-7
"Authentic SHORTCUTS, TIPS & TRICKS in PHYSICS for JEE Main, Advanced & KVPY",$25.99,4.1,"Competitive exams like JEE Tests the conceptual knowledge & how fast you solve the Problems with accuracy. Keeping this in mind DISHA Publication brings a unique & innovative Book Authentic SHORTCUTS, TIPS & TRICKS in PHYSICS for JEE Main, Advanced & KVPY written by renowned author Er. D. C. Gupta to enable aspirants for advanced abilities to Solve KVPY, JEE Main & Advanced level Questions well within the stipulated time. The book encompasses 24 Chapters, which starts with Review of Important Formulae, followed by Shortcuts, Tips & Tricks which are further followed by Illustrations demonstrating Shortcut Solutions. The Book in all contains: 1. 250+ Chapter-wise & Topic-wise Shortcuts, Tips & Tricks to solve JEE Level Problems. 2. 500+ Illustrations with Shortcut Solutions of JEE Level Questions including JEE Past Years Questions. 3. Video Solutions of Selected JEE Level Questions. 4. 325+ Chapter-wise JEE Level Questions Exercise with Accurate & Shortest Possible Solutions. 5. Chapter-wise & Topic-wise 350+ Important Formulae. No Matter where You Prepare from, keep this book as your companion. It would definitely improve your score by 25-30%.",Er D C Gupta,https://www.amazon.com/Authentic-SHORTCUTS-TRICKS-PHYSICS-Advanced/dp/9389645700/ref=sr_1_14?keywords=Advanced+physics&qid=1680593206&s=books&sr=1-14
44 Years Chapterwise Topicwise Solved Papers (2022-1979) IIT JEE Physics,$102.79,3.8,"For an impeccable practice of JEE questions, the revised edition of ""44 YEARS' CHAPTERWISE TOPIC WISE SOLVED PAPERS IIT JEE- PHYSICS"" is categorized as the best-selling study material to crack JEE Exam 2023. Providing as a one-stop solution, this book is strictly prepared according to the board syllabus. It covers questions of JEE Advanced Mathematics from 1979-2022 in a chapter-wise and Topicwise format. As a self-assessment tool for exam preparation, Previous Years' Solved Papers (2020- 2022) of JEE Main & Advanced Exams are included in the book. Accompanied by detailed solutions, the solved papers are well-supported with diagrams, Charts & Tables for an in-depth understanding. Practicing with this book provides great help in covering crucial concepts of Mathematics. 1. A comprehensive book with chapterwise Topicwise solved papers 2. 44 years (2022-1979) solved papers with detailed solutions 3. JEE Main & Advanced Solved Paper (2021-2022) 4. Builds the concepts deeply for a better understanding TABLE OF CONTENT: General Physics, Kinematics, Laws of Motion, Work, Power and Energy, Centre of Mass, Rotation, Gravitation, Simple Harmonic Motion, Properties of Matter, Wave Motion, Heat and Thermodynamics, Optics, Current Electricity, Electrostatics, Magnetics, Electromagnetic Induction and Alternating Current, Modern Physics, JEE Advanced Solved Papers (2020-2022), JEE Main Solved Papers-2022",DC Pandey,https://www.amazon.com/Chapterwise-Topicwise-2023-1979-Advanced-Physics/dp/9327194608/ref=sr_1_18?keywords=Advanced+physics&qid=1680593206&s=books&sr=1-18
WILEY'S HALLIDAY RESNICK WALKER PHYSICS FOR JEE ( MAIN & ADVANCED ) VOL- I EDITION,$34.71,4.3,Those who are looking for concept covering books should reffer this question quantity is less but concept are great 👍,Amit Gupta,https://www.amazon.com/Wileys-Halliday-Resnick-Physics-Advanced/dp/9354644287/ref=sr_1_20?keywords=Advanced+physics&qid=1680593206&s=books&sr=1-20
